,Deaths,Population,Overdose Rate,Unemployment Rate,Median Income,prisoner_count,incarceration rate (%)
351,2347,9928300,24.3772,4.6,52321,41122,0.413975212
352,185,4982796,3.6685,4.9,52114,6406,0.128517505
353,201,5018935,3.948,5.7,64851,6855,0.136423585
354,246,5053572,4.8103,4.8,55930,7569,0.149461748
355,250,5087713,4.8394,7.3,56134,7983,0.156635494
356,282,5119598,5.45,5.5,36538,8718,0.170049616
357,311,5163555,5.9236,6.2,45739,8814,0.170579209
358,341,5207203,6.4215,6.7,61604,9192,0.17685014
359,384,5247018,7.2159,5.7,39980,9031,0.172994639
360,419,5281203,7.8785,2.8,52201,9500,0.180395252
361,397,5303925,7.3476,4.9,50351,9397,0.176946058
362,511,5344861,9.3536,4.6,42777,9309,0.17408789
363,482,5379139,8.9059,4.7,56163,9421,0.175123047
364,523,5420380,9.6018,3.0,60367,9391,0.173199854
365,517,5457173,9.597999999999999,4.0,55928,9576,0.175475471
366,581,5489594,10.647,2.6,56701,9578,0.174475562
367,672,5519952,12.4677,4.3,47266,9509,0.17210704
368,169,2852994,6.1572,6.7,51434,15131,0.52910534
369,183,2858681,6.6338,3.3,49595,15355,0.535627141
370,207,2868312,7.4835,5.1,40437,15863,0.550302956
371,224,2889010,8.1736,6.1,48769,16359,0.563954098
372,248,2905943,8.8104,6.6,35078,16089,0.553172499
373,339,2904978,12.082,5.4,56090,16384,0.562919596
374,314,2928350,10.9502,8.0,45994,17478,0.598810807
375,303,2947806,10.5094,5.5,59373,17896,0.608993751
376,323,2958774,11.1678,4.2,64186,17212,0.583063121
377,334,2967297,11.3863,5.5,47502,16454,0.553993304
378,302,2978512,10.7045,4.9,45433,15390,0.516884039
379,310,2984926,10.6593,6.4,42664,15791,0.528754876
380,316,2991207,10.8336,4.6,44717,15591,0.521053698
381,336,2994079,11.6481,4.2,50721,13069,0.436494829
382,351,2992333,12.3448,5.9,44305,13967,0.466759548
383,352,2988726,12.1325,6.3,52870,13720,0.459567598
384,351,5641142,6.2576,4.3,40490,28575,0.506890788
385,416,5674825,7.465,5.4,60392,29795,0.525527273
386,522,5709403,9.2936,3.9,60501,29864,0.522170568
387,548,5747741,9.7556,4.7,52318,30682,0.532716894
388,608,5790300,10.6714,3.6,58491,30415,0.524604313
389,743,5842704,12.9502,4.8,47475,30116,0.515445479
390,714,5887612,12.2524,6.6,40517,29823,0.507330632
391,765,5923916,13.1468,3.1,45826,30137,0.509793872
392,863,5961088,14.6489,6.8,41101,30519,0.50970509
393,998,5988927,17.0351,7.8,51634,30577,0.509980878
394,963,6010688,16.4063,5.3,48172,30969,0.515378307
395,942,6021988,16.1656,6.5,49098,31205,0.517966405
396,1025,6044171,17.4929,3.7,45878,31499,0.521082423
397,1067,6063589,18.2146,6.4,45879,31903,0.526140542
398,1066,6083672,17.8941,3.2,50075,32295,0.530847159
399,1371,6093000,23.6436,6.1,41906,32427,0.532360254
400,56,906961,6.2322,6.8,39563,2795,0.308709473
401,78,911667,8.6633,10.3,41148,2870,0.315255742
402,93,919630,10.5536,6.9,47877,3053,0.332513938
403,98,930009,10.9153,6.4,50142,2703,0.291610927
404,96,940102,10.1205,10.3,46520,2822,0.301903102
405,97,952692,10.2454,10.2,53254,2948,0.312079201
406,125,964706,12.7584,8.8,47420,2909,0.303697509
407,134,976415,14.0723,7.2,61521,2910,0.300793848
408,142,983982,14.6404,9.9,46227,3085,0.316413826
409,118,989415,12.8808,10.4,44857,3137,0.316562357
410,141,998199,14.3899,8.3,50702,3125,0.313230767
411,118,1005141,11.9145,7.9,64682,3095,0.307808898
412,137,1015165,14.4557,7.3,60943,3125,0.307923032
413,125,1023579,12.3826,11.2,57014,3119,0.304715122
414,138,1032949,13.8332,7.8,39586,3176,0.307469197
415,119,1042520,11.6662,9.9,46914,3199,0.307994177
416,66,1719836,3.9472,8.0,51402,3915,0.227611118
417,66,1728292,3.9426,11.3,51727,4048,0.234318381
418,55,1738643,3.2198,6.4,46111,4073,0.234420639
419,59,1749370,3.5566,10.3,46934,4137,0.236710564
420,86,1761497,5.023,4.1,49631,4405,0.250545598
421,91,1772693,5.376,10.6,42930,4399,0.248765644
422,80,1783440,4.7707,8.3,50461,4402,0.248059954
423,94,1796378,5.4608,7.5,42102,4470,0.250640338
424,106,1812683,5.9086,9.1,65306,4490,0.249913866
425,117,1826341,6.6739999999999995,6.2,66176,4608,0.251783879
426,129,1842641,7.125,11.3,54744,4657,0.252790905
427,146,1855525,7.9099,4.6,50728,4721,0.254453338
428,117,1868516,6.471,6.8,42900,5012,0.268169242
429,125,1881503,7.1853,9.3,46038,5228,0.277862964
430,126,1896190,6.9455,9.5,36446,5133,0.270700721
431,120,1907116,6.4436,7.8,54925,5167,0.270863487
432,261,2098399,12.2689,8.4,54589,9862,0.470129026
433,323,2173791,14.75,9.1,64141,10101,0.466030437
434,342,2248850,15.1916,8.7,61141,10584,0.472034919
435,380,2346222,16.031,12.2,55734,11033,0.472931093
436,457,2432143,18.6618,8.2,40795,11662,0.483438841
437,461,2522658,17.971,10.4,47215,12754,0.511074005
438,499,2601072,18.8504,7.9,62993,13311,0.518870094
439,519,2653630,19.1846,10.5,42212,12877,0.495237421
440,550,2684665,20.0629,6.3,53337,12570,0.475580619
441,578,2700551,20.7343,8.6,51200,12192,0.450840389
442,639,2723322,22.839000000000002,7.7,37994,12159,0.447017457
443,602,2758931,20.962,9.2,56631,12594,0.457239701
444,614,2790136,21.1188,6.7,61985,12789,0.458141769
445,545,2839099,18.4096,6.6,50706,12693,0.447078457
446,619,2890845,20.3662,7.3,62537,13235,0.457824615
447,665,2940058,21.6704,7.6,46490,13932,0.473997824
448,79,1255517,6.0784,13.5,54058,2419,0.192081845
449,111,1269089,8.6655,4.6,49174,2475,0.194208278
450,127,1279840,9.5299,7.3,43655,2427,0.188328593
451,124,1290121,9.5546,9.6,46005,2443,0.18804328
452,142,1298492,10.6508,10.4,37279,2423,0.185412058
453,149,1308389,11.2345,7.4,58058,2676,0.203514349
454,186,1312540,13.8113,12.6,49370,2759,0.209677861
455,126,1315906,9.3666,8.3,58463,2854,0.216900781
456,168,1316102,12.4778,7.7,65630,2915,0.220070589
457,160,1316470,11.8137,8.1,47894,2617,0.198738312
458,210,1318194,15.3496,8.0,41313,2423,0.183866074
459,173,1320718,13.3933,10.2,39452,2568,0.194307428
460,203,1323459,15.0864,7.1,48497,2623,0.198319089
461,334,1326813,26.2125,6.0,48908,2723,0.205228619
462,422,1330608,34.3196,10.4,47453,2661,0.199983767
463,481,1334795,38.9902,10.4,52506,2599,0.194679461
464,705,8492671,8.1382,8.7,42091,26052,0.306093819
465,813,8552643,9.3301,10.0,58080,26301,0.306708188
466,721,8601402,8.2881,7.1,59161,25718,0.297578963
467,590,8634561,6.7748,6.1,47390,25435,0.292855658
468,823,8651974,9.4132,7.8,53529,25619,0.294364684
